Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Stressed,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Rarely,Yes,Neutral,Online Therapy Platforms,Yes
27-30,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Go out / exercise,1–2 times a week,3 (Moderate),Depression,Family expecta,Rarely,Sometimes,Happy and stable,Mental Health Apps,Yes
27-30,Male,Middle Class,School Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,3 (Moderate),None of these,Not applicable,Often,Sometimes,Neutral,Support Groups,Yes
15-18,Male,Middle Class,School Student,6–8 hours,6–8 hours,Sleep / do nothing,Never,3 (Moderate),Anxiety,Social media c,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
27-30,Female,Lower Class,Postgraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,3–5 times a week,2 (Low),Panic attacks,Academic press,Rarely,Yes,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,2 (Low),Anxiety,Uncertainty ab,Sometimes,Yes,Neutral,Mental Health Apps,Yes
23-26,Male,Lower Class,School Student,8–10 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Depression,Uncertainty ab,Almost every day,Yes,Happy and stable,Online Therapy Platforms,Yes
15-18,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Rarely,Yes,Stressed,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Talk to friends/family,Never,4 (High),Depression,Uncertainty ab,Sometimes,Yes,Anxious,Mental Health Apps,Yes
19-22,Female,Lower Class,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Relationship i,Rarely,Yes,Neutral,Family/Friends,Yes
27-30,Female,Rich,Undergraduate Student,Less than 6 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,2 (Low),Depression,Financial stre,Sometimes,Sometimes,Happy and stable,Support Groups,Yes
19-22,Female,Middle Class,School Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,4 (High),Panic attacks,Academic press,Almost every day,No,Neutral,Family/Friends,No
19-22,Female,Lower Class,Postgraduate Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,5 (Very High),Depression,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
23-26,Male,Rich,Undergraduate Student,Less than 6 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Social media c,Often,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,Never,2 (Low),Anxiety,Family expecta,Almost every day,Yes,Happy and stable,Family/Friends,Yes
23-26,Male,Middle Class,Working Professional,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
27-30,Female,Lower Class,Postgraduate Student,6–8 hours,More than 8 hours,Read or learn something new,3–5 times a week,2 (Low),None of these,Not applicable,Sometimes,Yes,Anxious,Mental Health Apps,Yes
23-26,Male,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Often,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Lower Class,School Student,8–10 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Depression,Relationship i,Sometimes,No,Anxious,Support Groups,Yes
27-30,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Panic attacks,Financial stre,Sometimes,No,Neutral,Mental Health Apps,Yes
23-26,Female,Rich,School Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Financial stre,Rarely,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Depressed / Burnt out,School/College Counselors,Yes
23-26,Male,Middle Class,Postgraduate Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Academic press,Rarely,Sometimes,Happy and stable,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Depression,Relationship i,Often,Yes,Neutral,Family/Friends,Yes
19-22,Female,Lower Class,Postgraduate Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Social media c,Rarely,Yes,Stressed,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,Never,4 (High),Depression,Financial stre,Often,No,Neutral,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,Daily,3 (Moderate),Anxiety,Academic press,Often,No,Anxious,Support Groups,Yes
15-18,Male,Lower Class,School Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,1 (Very Low),None of these,Not applicable,Sometimes,Yes,Neutral,Family/Friends,Yes
27-30,Male,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
19-22,Female,Middle Class,School Student,6–8 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,3–5 times a week,2 (Low),None of these,Not applicable,Sometimes,Yes,Stressed,Family/Friends,No
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Financial stre,Sometimes,Yes,Stressed,Family/Friends,No
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,School Student,8–10 hours,0–2 hours,Go out / exercise,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Depressed / Burnt out,School/College Counselors,Yes
23-26,Male,Rich,Currently Unemployed,More than 10 hours,2–4 hours,Watch movies / listen to music,Daily,2 (Low),Anxiety,Relationship i,Sometimes,Yes,Neutral,School/College Counselors,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,Never,2 (Low),Anxiety,Financial stre,Rarely,Yes,Stressed,Mental Health Apps,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,Daily,2 (Low),Panic attacks,Academic press,Often,No,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Working Professional,Less than 6 hours,6–8 hours,Read or learn something new,3–5 times a week,3 (Moderate),None of these,Not applicable,Almost every day,Sometimes,Stressed,School/College Counselors,Yes
23-26,Male,Rich,Working Professional,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Uncertainty ab,Sometimes,Sometimes,Anxious,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,Daily,4 (High),None of these,Not applicable,Often,Sometimes,Anxious,Family/Friends,Yes
15-18,Female,Lower Class,School Student,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Family expecta,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,Never,4 (High),Panic attacks,Academic press,Almost every day,Yes,Anxious,Support Groups,Yes
27-30,Female,Lower Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,4 (High),Anxiety,Financial stre,Sometimes,Yes,Neutral,Support Groups,Yes
23-26,Male,Lower Class,School Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Yes,Stressed,Support Groups,No
27-30,Male,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Read or learn something new,3–5 times a week,2 (Low),Anxiety,Relationship i,Sometimes,No,Anxious,Online Therapy Platforms,Yes
27-30,Male,Lower Class,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Female,Middle Class,Currently Unemployed,6–8 hours,6–8 hours,Sleep / do nothing,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Happy and stable,Mental Health Apps,Yes
15-18,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Read or learn something new,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,No,Happy and stable,Support Groups,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,3–5 times a week,4 (High),Anxiety,Financial stre,Often,Yes,Happy and stable,School/College Counselors,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,0–2 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Academic press,Almost every day,Sometimes,Stressed,Online Therapy Platforms,Yes
19-22,Male,Lower Class,Working Professional,6–8 hours,More than 8 hours,Watch movies / listen to music,Daily,3 (Moderate),None of these,Not applicable,Often,No,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Stressed,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,4 (High),None of these,Not applicable,Sometimes,No,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,School Student,6–8 hours,6–8 hours,Go out / exercise,1–2 times a week,1 (Very Low),Depression,Academic press,Rarely,Yes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Happy and stable,Mental Health Apps,Yes
23-26,Male,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,2 (Low),Depression,Academic press,Often,Yes,Happy and stable,Mental Health Apps,Yes
23-26,Male,Rich,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Family expecta,Rarely,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Neutral,School/College Counselors,No
27-30,Female,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Anxious,Family/Friends,Yes
23-26,Female,Middle Class,Working Professional,6–8 hours,0–2 hours,Watch movies / listen to music,Never,3 (Moderate),Anxiety,Relationship i,Almost every day,Sometimes,Neutral,School/College Counselors,Yes
15-18,Female,Rich,School Student,6–8 hours,6–8 hours,Go out / exercise,Never,5 (Very High),Anxiety,Financial stre,Rarely,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Rich,Working Professional,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Often,No,Stressed,Online Therapy Platforms,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Panic attacks,Financial stre,Sometimes,Yes,Depressed / Burnt out,Family/Friends,No
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,1 (Very Low),Panic attacks,Academic press,Almost every day,Yes,Anxious,Family/Friends,No
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,5 (Very High),Depression,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Academic press,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Often,Yes,Stressed,School/College Counselors,No
27-30,Male,Middle Class,School Student,8–10 hours,More than 8 hours,Scroll social media,3–5 times a week,2 (Low),None of these,Not applicable,Sometimes,No,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Working Professional,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,Yes,Anxious,Support Groups,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Academic press,Almost every day,Sometimes,Anxious,Family/Friends,No
23-26,Female,Lower Class,School Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,No,Happy and stable,Family/Friends,Yes
15-18,Male,Middle Class,School Student,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Mental Health Apps,No
27-30,Male,Rich,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,Never,2 (Low),Anxiety,Social media c,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Male,Middle Class,Working Professional,6–8 hours,2–4 hours,Watch movies / listen to music,Never,4 (High),Depression,Uncertainty ab,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Female,Middle Class,Working Professional,6–8 hours,0–2 hours,Scroll social media,3–5 times a week,4 (High),Panic attacks,Family expecta,Sometimes,Sometimes,Stressed,Support Groups,No
23-26,Male,Lower Class,School Student,6–8 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Anxiety,Academic press,Rarely,Yes,Anxious,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Talk to friends/family,1–2 times a week,5 (Very High),Panic attacks,Social media c,Rarely,No,Neutral,Mental Health Apps,Yes
15-18,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,2 (Low),Anxiety,Uncertainty ab,Sometimes,Sometimes,Happy and stable,Support Groups,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,0–2 hours,Watch movies / listen to music,3–5 times a week,4 (High),Panic attacks,Financial stre,Almost every day,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Rich,Postgraduate Student,8–10 hours,2–4 hours,Watch movies / listen to music,Never,2 (Low),None of these,Not applicable,Sometimes,No,Stressed,Family/Friends,Yes
23-26,Female,Middle Class,School Student,6–8 hours,6–8 hours,Scroll social media,Daily,3 (Moderate),Anxiety,Academic press,Sometimes,No,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,School Student,6–8 hours,6–8 hours,Talk to friends/family,Never,3 (Moderate),None of these,Not applicable,Often,Sometimes,Anxious,Mental Health Apps,Yes
27-30,Male,Middle Class,School Student,More than 10 hours,0–2 hours,Scroll social media,1–2 times a week,2 (Low),Panic attacks,Social media c,Sometimes,Yes,Anxious,Mental Health Apps,Yes
23-26,Male,Middle Class,School Student,8–10 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,5 (Very High),None of these,Not applicable,Rarely,Sometimes,Stressed,Family/Friends,Yes
